k,name,pearson_r,explained_variance,rmse,mae,true_mean,true_std,pred_mean,pred_std,pass_EV>0.85
0,gNaTs2_tbar_NaTs2_t_somatic,0.3564,0.1229,0.5397,0.4614,0.0065,0.5760,-0.0090,0.1685,False
1,gNap_Et2bar_Nap_Et2_somatic,0.9232,0.8501,0.2205,0.1754,-0.0123,0.5681,-0.0282,0.4979,True
2,gK_Tstbar_K_Tst_somatic,0.1985,0.0380,0.5760,0.4991,-0.0132,0.5869,0.0061,0.0943,False
3,gK_Pstbar_K_Pst_somatic,0.8806,0.7605,0.2862,0.2231,0.0217,0.5848,0.0214,0.4434,False
4,gCa_LVAstbar_Ca_LVAst_somatic,0.0827,0.0054,0.5795,0.5017,0.0167,0.5803,-0.0130,0.0699,False
5,gCa_HVAbar_Ca_HVA_somatic,0.5380,0.2744,0.4812,0.3926,0.0088,0.5633,-0.0278,0.2338,False
6,g_pas_somatic,0.8046,0.6387,0.3516,0.2839,0.0107,0.5816,0.0483,0.4138,False
7,gNaTs2_tbar_NaTs2_t_apical,-0.0530,-0.0131,0.5835,0.5060,-0.0164,0.5796,-0.0021,0.0424,False
8,gK_Pstbar_K_Pst_apical,-0.0077,-0.0025,0.5712,0.4924,-0.0047,0.5705,-0.0016,0.0246,False
9,gImbar_Im_apical,0.0270,0.0003,0.5852,0.5115,0.0122,0.5852,0.0024,0.0278,False
10,gIhbar_Ih_apical,0.5670,0.3207,0.4785,0.3930,0.0045,0.5788,0.0414,0.3119,False
11,g_pas_apical,0.2125,0.0439,0.5630,0.4858,0.0369,0.5750,0.0087,0.1016,False
